-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                         aten::_flash_attention_forward         0.02%       3.438ms         0.05%       8.791ms      45.785us      88.223ms         0.62%      88.223ms     459.494us       3.00 Kb           0 b       2.30 Gb           0 b           192
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us      88.223ms         0.62%      88.223ms     459.494us           0 b           0 b           0 b           0 b           192
                                 chunk_bwd_kernel_dqkwg         0.00%       0.000us         0.00%       0.000us       0.000us      81.271ms         0.57%      81.271ms     282.190us           0 b           0 b           0 b           0 b           288
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      77.603ms         0.55%      77.603ms      67.363us           0 b           0 b           0 b           0 b          1152
                                              aten::pow         0.44%      74.718ms         0.96%     161.133ms      41.572us      76.247ms         0.54%     139.812ms      36.071us           0 b           0 b      63.16 Gb      63.16 Gb          3876
                                              aten::sum         0.29%      49.065ms         0.84%     140.706ms      42.794us      75.671ms         0.53%      75.671ms      23.014us           0 b           0 b     119.27 Mb     119.27 Mb          3288
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      75.233ms         0.53%      75.233ms      87.076us           0 b           0 b           0 b           0 b           864
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      65.762ms         0.46%      65.762ms      31.541us           0 b           0 b           0 b           0 b          2085
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.431ms         0.46%      65.431ms      33.867us           0 b           0 b           0 b           0 b          1932
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      63.526ms         0.45%      63.526ms      73.526us           0 b           0 b           0 b           0 b           864
