seed,variant,split,success,required_recall,eviction_regret,stale_value_rate
0,baseline,test_id,1.0,1.0,0.0,0.0
0,baseline,test_composition,0.8733333333333333,0.9183333333333333,0.0027627372627372624,0.0016666666666666668
0,baseline,test_length,0.8566666666666667,0.9091666666666667,0.0013899145944413632,0.0033333333333333335
0,baseline,test_semantic_stress,0.9083333333333333,0.9358333333333333,0.0019431494431494433,0.005
0,augmented,test_id,0.9966666666666667,0.9983333333333333,7.142857142857143e-05,0.0
0,augmented,test_composition,0.9933333333333333,0.9958333333333333,0.00013131313131313133,0.0016666666666666668
0,augmented,test_length,0.9866666666666667,0.9933333333333333,0.00012629934334606191,0.0
0,augmented,test_semantic_stress,0.91,0.9333333333333333,0.0019366374366374369,0.0
1,baseline,test_id,0.995,0.9975,9.74025974025974e-05,0.0
1,baseline,test_composition,0.8366666666666667,0.855,0.0035083111333111335,0.0
1,baseline,test_length,0.84,0.8541666666666666,0.001541195625480096,0.0
1,baseline,test_semantic_stress,0.78,0.845,0.004661509786509786,0.0
1,augmented,test_id,1.0,1.0,0.0,0.0
1,augmented,test_composition,0.8416666666666667,0.8916666666666667,0.0031651866651866653,0.0
1,augmented,test_length,0.8316666666666667,0.8741666666666666,0.0015117348418026706,0.0
1,augmented,test_semantic_stress,0.7683333333333333,0.805,0.004067594442594443,0.0033333333333333335
2,baseline,test_id,1.0,1.0,0.0,0.0
2,baseline,test_composition,0.87,0.9066666666666666,0.0027743321493321495,0.0
2,baseline,test_length,0.8516666666666667,0.9016666666666666,0.001421936732722872,0.0
2,baseline,test_semantic_stress,0.93,0.9491666666666667,0.0014500453250453251,0.008333333333333333
2,augmented,test_id,0.995,0.9975,0.0001011904761904762,0.0
2,augmented,test_composition,0.9816666666666667,0.9883333333333333,0.000362012987012987,0.0033333333333333335
2,augmented,test_length,0.9783333333333334,0.9875,0.0001991532075744002,0.0033333333333333335
2,augmented,test_semantic_stress,0.805,0.8583333333333333,0.003948167573167574,0.0
