seed,model,split,success,required_recall,eviction_regret,stale_value_rate
0,A,test_id,0.9916666666666667,0.995,0.00016305916305916305,0.0016666666666666668
0,A,test_composition,0.7766666666666666,0.8708333333333333,0.004158047970547971,0.011666666666666667
0,A,test_length,0.7266666666666667,0.8266666666666667,0.002402440929723659,0.041666666666666664
0,A,test_semantic_stress,0.7916666666666666,0.865,0.0037745448995449,0.0
0,C,test_id,1.0,1.0,0.0,0.0
0,C,test_composition,0.8733333333333333,0.9183333333333333,0.0027627372627372624,0.0016666666666666668
0,C,test_length,0.8566666666666667,0.9091666666666667,0.0013899145944413632,0.0033333333333333335
0,C,test_semantic_stress,0.9083333333333333,0.9358333333333333,0.0019431494431494433,0.005
1,A,test_id,0.995,0.9975,9.74025974025974e-05,0.0
1,A,test_composition,0.415,0.5516666666666666,0.010985098235098235,0.0033333333333333335
1,A,test_length,0.38,0.5233333333333333,0.0051762110888767315,0.013333333333333334
1,A,test_semantic_stress,0.22666666666666666,0.3433333333333333,0.015146550209050208,0.0
1,C,test_id,0.995,0.9975,9.74025974025974e-05,0.0
1,C,test_composition,0.8366666666666667,0.855,0.0035083111333111335,0.0
1,C,test_length,0.84,0.8541666666666666,0.001541195625480096,0.0
1,C,test_semantic_stress,0.78,0.845,0.004661509786509786,0.0
2,A,test_id,0.9983333333333333,0.9991666666666666,3.787878787878788e-05,0.0
2,A,test_composition,0.6233333333333333,0.7341666666666666,0.007087192899692901,0.02
2,A,test_length,0.5083333333333333,0.6275,0.00446972294818936,0.07
2,A,test_semantic_stress,0.6916666666666667,0.7941666666666667,0.006026441151441152,0.021666666666666667
2,C,test_id,1.0,1.0,0.0,0.0
2,C,test_composition,0.87,0.9066666666666666,0.0027743321493321495,0.0
2,C,test_length,0.8516666666666667,0.9016666666666666,0.001421936732722872,0.0
2,C,test_semantic_stress,0.93,0.9491666666666667,0.0014500453250453251,0.008333333333333333
